date,Original,Corrected,Updates,7d Rolling,dead
2021-05-09,1,1,1,,
2021-05-10,4,4,1,,
2021-05-11,7,7,1,,
2021-05-12,16,16,1,,
2021-05-13,13,13,1,,
2021-05-14,29,30,2,,
2021-05-15,180,185,2,36.57142857142857,
2021-05-16,206,284,8,77.0,
2021-05-17,333,535,9,152.85714285714286,0.0
2021-05-18,240,456,10,217.0,2.0
2021-05-19,267,527,9,290.0,0.0
2021-05-20,286,474,9,355.85714285714283,1.0
2021-05-21,312,432,10,413.2857142857143,0.0
2021-05-22,321,473,10,454.42857142857144,2.0
2021-05-23,287,491,11,484.0,6.0
2021-05-24,334,502,10,479.2857142857143,6.0
2021-05-25,281,499,9,485.42857142857144,6.0
2021-05-26,302,532,8,486.14285714285717,11.0
2021-05-27,401,529,9,494.0,13.0
2021-05-28,297,415,8,491.57142857142856,19.0
2021-05-29,320,415,8,483.2857142857143,21.0
2021-05-30,266,425,6,473.85714285714283,10.0
2021-05-31,274,395,7,458.57142857142856,15.0
2021-06-01,262,332,5,434.7142857142857,13.0
2021-06-02,372,488,4,428.42857142857144,12.0
2021-06-03,364,416,4,412.2857142857143,17.0
2021-06-04,339,345,2,402.2857142857143,21.0
2021-06-05,476,476,1,411.0,37.0
2021-06-06,335,335,1,398.14285714285717,36.0
2021-06-07,211,211,1,371.85714285714283,26.0
2021-06-08,219,219,1,355.7142857142857,22.0
2021-06-09,274,274,1,325.14285714285717,25.0
2021-06-10,263,263,1,303.2857142857143,28.0
2021-06-11,286,286,1,294.85714285714283,24.0
2021-06-12,250,250,1,262.57142857142856,26.0
2021-06-13,174,174,1,239.57142857142858,26.0
2021-06-14,185,185,1,235.85714285714286,15.0
2021-06-15,132,132,1,223.42857142857142,8.0
2021-06-16,167,167,1,208.14285714285714,18.0
2021-06-17,175,175,1,195.57142857142858,19.0
2021-06-18,187,187,1,181.42857142857142,21.0
