date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5/9/2021,1,,,,,,,,,,,,,,,,,,,,
5/10/2021,4,,,,,,,,,,,,,,,,,,,,
5/11/2021,7,,,,,,,,,,,,,,,,,,,,
5/12/2021,16,,,,,,,,,,,,,,,,,,,,
5/13/2021,13,,,,,,,,,,,,,,,,,,,,
5/14/2021,29,,,,,,,,,,30,,,,,,,,,,
5/15/2021,180,,,,,,,,,185,,,,,,,,,,,
5/16/2021,206,,,,,,245,257,269,276,,,280,,,283,,,,,284
5/17/2021,333,,,,,406,441,476,510,526,530,533,,,,,,535,,,
5/18/2021,240,,,,325,355,383,414,437,447,454,,,455,,,456,,,,
5/19/2021,267,,,359,391,431,468,504,518,525,,,,,527,,,,,,
5/20/2021,286,,360,375,405,435,458,467,474,,,,,,,,,,,,
5/21/2021,312,349,363,385,402,411,418,424,,,,,430,432,,,,,,,
5/22/2021,321,353,380,402,429,451,464,472,,,,,,473,,,,,,,
5/23/2021,287,344,384,430,454,476,487,,488,489,490,,491,,,,,,,,
5/24/2021,334,379,435,464,485,498,498,500,501,,,502,,,,,,,,,
5/25/2021,281,373,427,463,482,492,,,493,499,,,,,,,,,,,
5/26/2021,302,395,467,505,527,,,530,532,,,,,,,,,,,,
5/27/2021,401,461,493,512,514,517,524,528,529,,,,,,,,,,,,
5/28/2021,297,342,365,371,372,397,414,415,,,,,,,,,,,,,
5/29/2021,320,335,342,349,378,402,407,415,,,,,,,,,,,,,
5/30/2021,266,317,328,374,417,425,,,,,,,,,,,,,,,
5/31/2021,274,315,344,374,386,394,395,,,,,,,,,,,,,,
6/1/2021,262,290,322,330,331,,,,,,,,,,,,,,,,
6/2/2021,372,428,481,488,,,,,,,,,,,,,,,,,
6/3/2021,364,406,415,416,,,,,,,,,,,,,,,,,
6/4/2021,339,,345,,,,,,,,,,,,,,,,,,
6/5/2021,476,,,,,,,,,,,,,,,,,,,,
6/6/2021,335,,,,,,,,,,,,,,,,,,,,
